area,cod_mun,cod_sec,municipio,provincia,y19,y15
municipios,45012,,Almocid de Toledo,Toledo,13650,10850
municipios,19022,,Almocid de Zorita,Guadalajara,17850,15750
municipios,16018,,Almocid del Marquesado,Cuenca,15050,10850
municipios,21004,,Almoster la Real,Huelva,13650,11550
municipios,21005,,Almonte,Huelva,12250,10150
municipios,3015,,Almoradí,Alicante,10850,8750
municipios,45013,,Almorox,Toledo,11550,9450
municipios,43011,,Almoster,Tarrago,25550,22050
municipios,3016,,Almudai,Alicante,18550,12950
municipios,22021,,Almudévar,Huesca,17850,15750
municipios,50025,,La Almunia de Doña Godi,Zaragoza,15050,12950
municipios,22022,,Almunia de San Juan,Huesca,18550,16450
municipios,22023,,Almuniente,Huesca,17150,14350
municipios,18017,,Almuñécar,Grada,11550,9450
municipios,13016,,Almuradiel,Ciudad Real,13650,10150
municipios,46035,,Almussafes,Valencia,19250,16450
municipios,44019,,Alobras,Teruel,,
municipios,19023,,Alocén,Guadalajara,22750,22050
municipios,48912,,Alonsotegi,Vizcaya,18550,16450
municipios,29012,,Álora,Málaga,11550,8750
municipios,25022,,Alòs de Balaguer,Lleida,17150,14350
municipios,21006,,Alosno,Huelva,12250,10150
